开始时间:20131017; 结束时间:20191026; 总记录条数:32; 导出日期:Sat Oct 26 14:11:51 CST 2019; 类型: 视频; 
ID:6027;       xml文件名：6027.xml
ID:6028;       xml文件名：6028.xml
ID:6026;       xml文件名：6026.xml
ID:6031;       xml文件名：6031.xml
ID:6029;       xml文件名：6029.xml
ID:6030;       xml文件名：6030.xml
ID:6000;       xml文件名：6000.xml
ID:6001;       xml文件名：6001.xml
ID:6008;       xml文件名：6008.xml
ID:6009;       xml文件名：6009.xml
ID:6012;       xml文件名：6012.xml
ID:6013;       xml文件名：6013.xml
ID:6010;       xml文件名：6010.xml
ID:6006;       xml文件名：6006.xml
ID:6007;       xml文件名：6007.xml
ID:6004;       xml文件名：6004.xml
ID:6005;       xml文件名：6005.xml
ID:6002;       xml文件名：6002.xml
ID:6003;       xml文件名：6003.xml
ID:6011;       xml文件名：6011.xml
ID:6014;       xml文件名：6014.xml
ID:6015;       xml文件名：6015.xml
ID:6016;       xml文件名：6016.xml
ID:6017;       xml文件名：6017.xml
ID:6018;       xml文件名：6018.xml
ID:6019;       xml文件名：6019.xml
ID:6024;       xml文件名：6024.xml
ID:6025;       xml文件名：6025.xml
ID:6021;       xml文件名：6021.xml
ID:6022;       xml文件名：6022.xml
ID:6023;       xml文件名：6023.xml
ID:6020;       xml文件名：6020.xml
